Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/ Murder and nonnegligent manslaughter
Agency,State,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,
Stamford Police Dept,CT,           5,           6,           4,           6,           9,          10,          10,           7,           8,           6,           4,           6,           1,           3,           3,           1,           1,           2,           2,           3,           4,           3,           3,           5,           2,           2,           6,           5, 
Waterbury Police Dept,CT,           5,           7,           7,          11,           6,           5,           9,          12,          20,           8,           9,          13,           8,           7,           3,          12,           7,           4,           5,           3,           6,           7,           3,           5,           6,           5,           7,           5, 
New Castle County Police Department,DE,,,,,,,,,,,,,,,,,,           7,           5,           4,           8,           9,           9,          13,           8,           9,           5,          14, 
Washington Metropolitan Police Dept,DC,         147,         194,         225,         369,         434,         472,         482,         443,         454,         399,         361,         397,         301,         260,         241,         239,         232,         262,         248,         198,         195,         169,         181,         186,         144,         132,         108,          88, 
Alachua County Sheriff Department,FL,,,,,,,,,,,,,           7,           2,           2,           2,           3,           0,           2,           1,           2,           5,           1,           1,           2,           8,           4,           4, 
Brevard County Sheriff Department,FL,,,,,,,,,,,,,           6,           8,           8,           8,           3,           5,           7,           3,          10,           6,          14,           4,           4,           4,           6,          13, 
Cape Coral Police Dept,FL,,,,,,,,,,,,,           0,           3,           1,           0,           2,           3,           1,           4,           5,           6,           5,           7,           3,           3,           3,           4, 
Charlotte County Sheriff Department,FL,,,,,,,,,,,,,           4,           1,           2,           3,           5,           2,           4,           4,           1,           2,          10,           3,           2,           1,           2,           1, 
Citrus County Sheriff Department,FL,,,,,,,,,,,,,           0,           3,           2,           3,           5,           4,           2,           2,           6,           1,           4,           7,           2,           7,           5,           5, 
City Of Port St Lucie Police Dept,FL,,,,,,,,,,,,,           4,           1,           3,           3,           5,           1,           1,           0,           1,           7,           2,           3,           1,           3,           6,           4, 
Clay County Sheriff Department,FL,,,,,,,,,,,,,           2,           3,           2,           4,           2,           2,           3,           6,           5,           7,           5,           5,          12,           9,           5,           5, 
Clearwater Police Dept,FL,,,,,,,,,,,,,           2,           1,           4,           6,           4,           7,           4,           7,           9,           4,          10,          11,           3,           5,          10,           3, 
Collier County Sheriff Department,FL,,,,,,,,,,,,,          16,           4,           7,          13,           9,           7,          10,          14,           9,           6,          15,           6,          14,          10,           9,           6, 
Coral Springs Police Dept,FL,,,,,,,,,,,,,           2,           3,           1,           3,           2,           2,           2,           0,           0,           2,           3,           4,           2,           1,           1,           1, 
Jacksonville,FL,          90,         119,         147,,         165,         176,         119,         123,         125,         106,          86,          85,          75,          74,          83,          79,          75,          90,          92,         104,          91,         110,         123,         115,          99,          80,          71,          93, 
Escambia County Sheriff Department,FL,,,,,,,,,,,,,          11,          15,           7,          15,          14,          15,           8,          18,           9,          10,          17,          18,          15,          26,          14,          15, 
Fort Lauderdale Police Dept,FL,,,,,,,,,,,,,          16,          16,          22,          13,          29,          12,          18,          15,          15,          21,          25,          22,          13,           7,          12,          16, 
Gainesville Police Dept,FL,,,,,,,,,,,,,           4,           1,           6,           6,           4,           7,           5,           5,           5,           7,           5,           3,           3,           4,           6,           6, 
Hernando County Sheriff Department,FL,,,,,,,,,,,,,           7,           2,           0,           2,           3,           4,           5,           4,           0,           5,           1,           2,           3,           9,           8,           2, 
Hialeah Police Dept,FL,,,,,,,,,,,,,          12,           8,          10,           8,           9,           9,          13,          12,           8,           5,           7,           8,           8,          12,           4,           4, 
Hillsborough County Sheriff Department,FL,,,,,,,,,,,,,          26,          35,          32,          36,          21,          31,          29,          27,          23,          30,          35,          46,          34,          36,          28,          28, 
Hollywood Police Dept,FL,,,,,,,,,,,,,           9,           6,           9,           3,           7,          11,           4,           8,           6,           8,          13,          13,           7,           7,           4,           5, 
Lake County Sheriff Department,FL,,,,,,,,,,,,,           4,           1,           8,           6,           3,           3,           1,           4,           8,           4,           2,           7,           2,           7,           6,           3, 
Lee County Sheriff Department,FL,,,,,,,,,,,,,          15,          14,          16,          13,          11,          23,          14,          12,          15,          26,          25,          28,          20,          17,          15,          17, 
Manatee County Sheriff Department,FL,,,,,,,,,,,,,           9,           7,          14,           5,           5,           8,           8,           8,          11,          14,          15,           8,          22,          11,          12,          18, 
Marion County Sheriff Department,FL,,,,,,,,,,,,,           9,          14,           9,           7,          11,          10,           8,          14,          11,          11,           8,          15,           9,           6,           9,          14, 
Martin County Sheriff Department,FL,,,,,,,,,,,,,           5,           2,           2,           5,           2,           6,           4,           7,           2,           3,           2,           1,           5,           2,           1,           4, 
Metro-Dade Police Department,FL,,,,,,,,,,,,,         162,         120,         101,         101,          89,          94,          95,          88,          70,          98,          84,          95,          86,          87,          90,          81, 
Miami Police Dept,FL,,,,,,,,,,,,,          98,          86,          63,          66,          66,          65,          74,          69,          54,          77,          78,          63,          59,          68,          68,          69, 
Miramar Police Dept,FL,,,,,,,,,,,,,           5,           3,           1,           2,           1,           6,           1,           2,           3,           6,           7,           5,           7,           9,           4,           2, 
Okaloosa County Sheriff Department,FL,,,,,,,,,,,,,           4,           8,           3,           1,           4,           4,           3,           2,           2,           3,           1,           3,           3,           1,           1,           0, 
Orange County Sheriff Department,FL,,,,,,,,,,,,,          26,          21,          26,          29,          27,          38,          38,          38,          49,          64,          58,          74,          44,          53,          56,          49, 
Orlando Police Dept,FL,,,,,,,,,,,,,          14,          25,          19,          21,          15,          15,          21,          17,          22,          49,          39,          43,          28,          18,          29,          24, 
Osceola County Sheriff Department,FL,,,,,,,,,,,,,           3,           5,           8,           2,           2,           6,           1,           1,           8,           6,          11,           9,           7,           6,           2,           5, 
Palm Bay Police Dept,FL,,,,,,,,,,,,,           2,           3,           1,           0,           4,           2,           8,           0,           2,           1,           5,           4,           5,           4,           2,           3, 
Palm Beach County Sheriff Department,FL,,,,,,,,,,,,,          27,          29,          23,          18,          10,           8,          24,          32,          11,          35,          32,          33,          24,          24,          14,          19, 
Pasco County Sheriff Department,FL,,,,,,,,,,,,,           8,          10,          13,           5,          15,          12,          15,          15,          12,          26,          14,          22,          11,           8,          11,          11, 
Pembroke Pines Police Dept,FL,,,,,,,,,,,,,           1,           2,           0,           2,           3,           3,           0,           1,           6,           1,           0,           3,           4,           4,           4,           2, 
Pinellas County Sheriff Department,FL,,,,,,,,,,,,,           6,          12,           6,           4,           7,           7,           7,           3,           5,           6,          10,           8,           9,          11,           8,          12, 
Polk County Sheriff Department,FL,,,,,,,,,,,,,          20,          23,          14,          15,          12,          20,          16,          10,           6,          15,          16,          28,          16,          12,          12,          19, 
Pompano Beach Police Dept,FL,,,,,,,,,,,,,           4,           9,           4,           5,           1,           5,           3,           9,           5,          10,          10,           9,           8,           7,           5,           5, 
Santa Rosa County Sheriff Department,FL,,,,,,,,,,,,,           5,           8,           3,           4,           2,           4,           0,           5,           2,           2,           4,           2,           0,           6,           1,           0, 
Sarasota County Sheriff Department,FL,,,,,,,,,,,,,           5,           6,           5,           6,           5,           5,           7,           1,           4,           4,          12,           7,           8,           3,           8,          11, 
Seminole County Sheriff Department,FL,,,,,,,,,,,,,           1,           8,           1,           5,           3,           2,           7,           8,           0,          11,           8,           4,           6,           4,           6,           5, 
St. John County Sheriff Department,FL,,,,,,,,,,,,,           6,           8,           1,           5,           7,,           3,           2,           3,           5,           3,           4,           3,           7,           4,           7, 
St. Petersburg Police Dept,FL,,,,,,,,,,,,,          21,          23,          20,          14,          21,          23,          22,          19,          30,          21,          26,          20,          11,          13,          21,          15, 
Tallahassee Police Dept,FL,,,,,,,,,,,,,           5,           6,           5,           8,           7,           9,           4,          12,           9,          10,           5,           8,           6,          13,          10,          12, 
Tampa Police Dept,FL,,,,,,,,,,,,,          35,          40,          31,          38,          34,          37,          41,          30,          20,          25,          28,          27,          20,          27,          28,          23, 
Volusia County Sheriff Department,FL,,,,,,,,,,,,,           6,           3,           8,           5,           7,           6,           8,          10,          13,           4,           5,           4,           7,          11,          10,           8, 
West Palm Beach Police Dept,FL,,,,,,,,,,,,,          30,          20,          13,          23,          18,           7,          14,          18,          22,          17,          12,          18,          19,          19,          14,          17, 
Athens-Clarke County Police Department,GA,,,,,,,,,,,,,           7,           4,,,,,,,,,,,          10,           5,           6,           5, 
Atlanta Police Dept,GA,         145,         186,         207,         217,         246,         231,         205,         198,         203,         191,         184,         196,         150,         149,         143,         134,         144,         152,         148,         111,          90,         110,         129,         105,          80,          93,          88,          83, 
Cherokee County Sheriff Department,GA,           6,,,           4,           6,           5,           1,           1,           1,           6,           2,           1,           2,,           2,           1,           0,           0,,,           5,,           0,           2,           1,           1,           0,           3, 
Clayton County Police Department,GA,,,           8,           6,           7,           9,           5,          12,          15,           8,           4,           4,           9,           9,           8,          14,,,,,,,,,          17,          12,          28,          24, 
Cobb County Police Department,GA,,,,,,,,,,,,,,,,,,,,,,,,,          19,,          18,          11, 
Columbia County Sheriff Department,GA,           1,           2,           9,           3,,,,,           4,,           1,           2,           1,           6,,           2,           2,           0,           3,,           1,,,           0,           4,           1,           4,           1, 
Columbus Police Dept,GA,          23,          28,          19,          21,          24,          23,          23,          15,          32,          20,          20,          15,          14,          17,          19,          18,           9,          20,          19,          25,          22,          17,          24,          30,          13,          15,          15,          17, 
Dekalb County Public Safety Department,GA,,,,,,,,,,,,,,,,,,,,,,,,,          58,          80,          65,          76, 
Forsyth County Sheriff Department,GA,           0,           0,,           3,           3,           0,           0,           4,           4,           0,           0,           1,           1,           2,           0,           0,           1,           1,           3,           1,           0,           5,           0,           5,           2,           0,           1,, 
Gwinnett County Police Department,GA,           7,           3,           2,           1,           1,          12,          13,          15,           9,           8,          13,           5,           8,          16,          23,          24,,,,,,,,,          35,          20,          24,          34, 
Hall County Sheriff Department,GA,           3,           1,,           4,,           2,           5,           5,           0,           7,           9,           1,           5,           3,           8,,           2,          10,           6,           5,           5,           1,           2,           3,           2,           3,           2,           4, 
Henry Police Dept,GA,,,,,,,,,,,,,,,,,,,,,,,,,           3,           6,           5,           5, 
Paulding County Sheriff Department,GA,           6,,           7,           0,           4,           1,           1,,           0,           4,           0,           1,           1,           0,,           3,           1,           0,           1,,           1,           1,           2,           0,           0,           0,           0,           1, 
Richmond,GA,,,,,,,,,,,,,,,,,          16,          13,          31,          14,          14,          18,          24,          20,          26,          36,          26,          28, 
Savannah Police Dept,GA,          39,          29,          24,          19,          20,          33,          59,          23,          33,          29,          27,          22,          27,          29,          39,          31,          26,          32,          28,          23,,,,,          30,          20,          26,          23, 
Honolulu Police Dept,HI,          36,          46,          36,          28,,          34,          29,          31,          31,          35,          38,          27,          34,          17,          37,          20,          20,          18,          15,          26,          15,          17,          19,          18,          14,          19,,, 
Maui Police Department,HI,           1,           2,           2,           1,           2,           3,           6,           4,           5,           7,           5,           1,           3,           4,           2,           5,,,,,,,,,           3,           1,,           5, 
Ada County Sheriff Department,ID,           3,           5,           4,           2,           1,           1,           0,           4,           0,           1,           3,           3,           5,           3,           2,           1,           1,           0,           2,           0,,           0,           4,           2,           0,           1,           2,           0, 
Boise Police Dept,ID,           3,           0,           2,           5,           0,           3,           3,           5,           3,           4,           3,           1,           4,           3,           2,           1,           2,           6,           3,           0,           5,           6,          10,           1,           6,           3,           1,           1, 
Aurora Police Dept,IL,           4,           9,           1,          12,           9,          11,          13,          14,          17,          13,          24,          26,          20,          11,           9,          15,           8,          25,          13,          17,          14,           4,          12,           2,           5,           4,           2,           0, 
Chicago Police Dept,IL,         666,         744,         687,         660,         742,         850,         925,         939,         845,         928,         824,         789,         757,         703,         641,         631,         666,         648,         598,         448,         448,         468,         443,         510,         458,         432,         431,         500, 
Cook County Sheriff Department,IL,           5,           4,           3,           4,           1,           4,           3,           5,          10,           1,,,,,,,,,,,,           6,           4,           1,,           0,           2,           1, 
Elgin Police Dept,IL,           1,           5,           7,           8,           4,           3,           6,           4,           8,           5,,,,,,,,,,,,           2,           2,           2,           3,           4,           5,           2, 
Joliet,IL,          10,          11,          13,          13,           8,          22,          22,          14,          17,          20,,,,,,,           5,           7,          11,           9,          11,          14,           9,           5,          12,          11,           8,          11, 
Lake County Sheriff Department,IL,           5,           1,           1,           2,           0,           5,           3,           0,           2,           4,,,,,,,,,,,,           0,           1,           0,           0,           2,           1,           2, 
Naperville Police Dept,IL,           0,           0,           1,           0,           0,           0,           1,           0,           2,           0,           2,           2,           0,           0,           4,           0,           0,           1,           0,           0,           0,           0,           2,           2,           0,           0,           2,           3, 
Peoria Police Dept,IL,           4,           4,           7,           2,          23,           4,          18,          13,,          11,,          11,           9,           5,          12,           9,          14,           9,           7,          14,          14,          17,          16,           6,          16,          23,          16,          10, 
Rockford Police Dept,IL,           6,          12,           8,          19,           7,          16,          13,          12,          22,          30,          19,          31,          14,          12,          17,          11,          11,          20,          12,           8,          19,          19,          22,          20,          22,          23,          21,           9, 
Springfield Police Dept,IL,          13,           9,          10,           7,           2,          12,          10,          11,,          18,          11,           7,          12,          13,          10,           6,          14,           5,           7,          10,           5,           6,           8,           4,          12,           7,           8,          10, 
Will County Sheriff Department,IL,           2,           6,           5,           6,           6,           8,           6,,,,,,,,,,,,,,,           4,           4,,           5,           2,           6,           6, 
Elkhart County Sheriff Department,IN,           1,           2,           2,           0,           1,           0,           1,           0,,           3,           0,           0,           3,           5,           4,           1,           1,           0,           2,           1,           0,           1,           1,           1,           0,           1,           1,           3, 
Evansville Police Dept,IN,           9,           4,           4,           7,           6,           6,          12,           8,           7,           8,           5,           7,           7,           8,           5,           9,           8,           2,          12,           0,           8,           6,           2,           5,           3,           5,           3,           8, 
Fort Wayne Police Dept,IN,          21,          16,,          11,          14,          17,          23,          18,          28,          38,          23,          13,          36,          24,          20,          20,          23,          24,          19,          22,          25,          18,          24,          25,          18,          23,          24,          22, 
Indianapolis Police Dept,IN,          59,          63,          57,          79,          41,          58,          95,          88,          68,         108,          82,         114,         118,         143,         113,          96,         112,         112,         105,         109,         108,         140,         114,         114,          99,          92,          96,          97, 
Marion County Sheriff Department,IN,           9,           8,          12,          10,          20,          17,          14,          13,          17,          15,          15,          18,          28,,,,,,,,,,,,,,,, 
South Bend Police Dept,IN,           9,          17,          11,          15,,,,          18,          19,          19,          26,          22,          17,          14,          17,          12,          21,          20,          16,          10,          12,          14,           7,          15,          14,           6,           9,          18, 
St. Joseph County Sheriff Department,IN,           2,           2,           3,           1,           7,           1,           1,           2,           2,           1,           1,           0,           0,           3,           2,           4,           3,           1,           1,           1,           1,           2,           1,           1,           2,           1,           3,           0, 
Cedar Rapids Police Dept,IA,           2,           2,           3,           2,           5,           1,,,,,,           0,,,           4,           1,           3,           2,           4,           0,           1,           6,           4,           3,           1,           2,           2,           3, 
Davenport Police Dept,IA,           6,           0,           4,           2,           3,           5,,           2,           5,           8,           8,           4,           2,           3,           3,           5,           5,           7,           5,           6,           7,           4,           2,           6,           2,           2,           5,           4, 
Des Moines Police Dept,IA,           7,          18,          14,          13,          12,          16,,           7,           9,          12,          19,          19,          11,          15,          13,          14,          11,           9,           8,           8,           6,           6,           4,          12,           6,           5,           8,           7, 
City Of Overland Park Police Dept,KS,           3,           4,,           1,           2,           1,           1,           0,,,,,,,,,           1,           1,,           2,           2,           0,           2,           1,           3,           0,           2,           2, 
Kansas City Police Dept,KS,          23,          21,          31,          37,          44,          28,          44,          60,,,,,,,,,,,,          37,          37,          45,          20,,          35,          25,          27,          15, 
Olathe Police Dept,KS,           2,           1,           0,           2,           1,           2,           0,           2,,,,,,,,           2,           0,           4,,           0,           1,           3,           2,           2,           0,           4,           6,           0, 
Topeka Police Dept,KS,           6,          12,           4,           7,          11,          11,          16,           8,,,           9,          17,           8,          16,          15,          18,          22,           8,          16,           8,           7,           9,          12,          10,          10,          12,          15,          15, 
Wichita Police Dept,KS,          26,          23,          24,          15,          29,          18,          24,          29,          48,          42,          41,          24,          32,          31,          27,          31,          17,          20,          18,          29,          12,          26,          40,          30,          25,          16,          25,          23, 
Louisville Metro,KY,,,,,,,,,,,,,,,,,,,,          66,          55,          50,          71,          71,          62,          52,          48,          62, 
Lexington-Fayette County Police Department,KY,           7,          24,          12,,          11,          20,          13,          18,           8,          23,          14,          14,          24,          22,          24,          11,          24,          15,          18,          24,          15,           9,          16,          12,          13,          18,          14,          12, 
Louisville Police Dept,KY,          30,          42,          43,,          32,          39,          43,          39,          37,          52,          50,          63,          62,          39,          37,          39,          25,          35,,,,,,,,,,, 
Baton Rouge Police Dept,LA,          36,          51,          34,          24,          41,          49,          58,          58,          73,          64,          65,          71,          58,          64,          53,          58,          46,          59,          41,          47,          49,          57,          71,          67,          75,          69,          64,          66, 
East Baton Rouge Parish Sheriff Dept,LA,           6,           8,           3,          11,          14,           8,           7,          14,          12,          15,          15,          15,          12,           9,          11,          12,          11,          16,           6,          13,          10,          16,          20,          18,          11,          10,          14,          18, 
Jefferson Parish Sheriff Department,LA,,,,,,,,,,,,,,,          27,          29,          29,          38,          41,          43,,          66,          44,          36,          51,          52,          49,          33, 
Lafayette Police Dept,LA,           3,          12,           9,           9,           7,           5,           8,          17,          18,           6,           8,           8,          15,           9,           7,           3,           5,           3,           7,           6,           8,          10,          15,          10,           7,          12,           6,          11, 
Livingston Parish Sheriff Department,LA,,           4,           1,           8,           3,           5,           6,           3,          13,           6,           4,           6,           4,           2,           2,           3,,           5,           1,           2,           6,           5,           8,           5,           6,           6,           2,           1, 
New Orleans Police Dept,LA,         152,         197,         205,         228,         251,         304,         345,         279,         395,         424,         363,         351,         267,         230,         158,         204,         213,         258,         274,         264,,         162,         209,         179,         174,         175,         200,         193, 
Shreveport Police Dept,LA,          48,          45,          40,          29,          51,          65,          50,          47,          76,          63,          61,          51,          42,          34,          31,          54,          31,          40,          42,          33,          39,          28,          36,          27,          31,          26,          17,          17, 
St. Tammany Parish Sheriff Department,LA,           8,           6,           5,           5,           7,           7,           5,           6,           9,           6,           7,          10,           6,           6,           4,           7,          10,          10,           4,           2,           8,          11,          10,           4,           4,           7,           5,           7, 
Anne Arundel County Police Department,MD,,,,,,,,,,,,,,,,,,,,,,,,,          12,          14,          13,, 
Baltimore City Police Dept,MD,         213,         240,         226,         234,         262,         305,         304,         335,         353,         321,         322,         330,         312,         313,,         261,         256,         253,         270,         276,         269,         276,         282,         234,         238,         223,         197,         218, 
Baltimore County Police Department,MD,          24,          31,          32,          24,          34,          34,          25,          43,          36,          31,          38,          34,          23,          21,          30,,,,,,,,,,          32,          20,          30,          24, 
Charles County Sheriff Office,MD,           2,           2,           4,           5,           7,           8,           5,           5,           4,           3,          10,          11,           4,           4,           2,           4,           9,           6,           3,           5,           4,           4,           4,          10,           7,           2,           3,           6, 
Frederick County Sheriff Department,MD,           0,           0,           0,           3,           1,           0,           1,           1,           0,           3,           1,           2,           0,           1,           0,           1,           0,           2,           1,           1,           1,           2,           2,           1,           4,           1,           1,           0, 
Harford County Sheriff Office,MD,           0,           1,           7,           5,           3,           2,           0,           4,           0,           6,           4,           3,           2,           6,           3,           2,           1,           1,           5,           2,           2,           4,           7,           3,           3,           5,           4,           2, 
Howard County Police Department,MD,           3,           2,           6,           2,           9,           5,           8,           5,           4,           4,           3,           5,           1,           6,           6,,,,,,,,,,           2,           4,           4,           4, 
Montgomery County Police Department,MD,          12,           9,          17,          16,          21,          23,          22,          21,          29,          34,          20,          12,          22,          12,          12,,,          32,          21,          18,          19,          15,          19,          21,          13,          16,          15,          14, 
Prince Georges County Police Department,MD,,,,,,,,,,,,,,,,,,,,,,,,,          86,          81,          80,          49, 
St. Marys County Sheriff Department,MD,           1,           0,           2,           3,           3,           0,           5,           1,           2,           2,           1,           3,           2,           3,           0,           5,           4,           3,           1,           2,           1,           4,           1,           2,           0,           4,           0,           0, 
Washington County Sheriff Department,MD,           0,           2,           0,           0,           1,           1,           0,           0,           3,           1,           2,           0,           2,           1,           0,           3,           2,           2,           1,           2,           2,           0,           4,           0,           0,           0,           1,           0, 
Boston Police Dept,MA,          87,         105,          76,          93,          99,         143,         113,          73,          98,          85,          96,          59,          43,          34,          31,          39,          65,          60,          39,          61,          73,          75,          65,          62,          50,          73,          63,          57, 
Cambridge Police Dept,MA,           0,           4,           2,,           6,           3,           5,           2,           2,           1,           3,           1,           2,           2,           2,           1,           1,           6,           3,           0,           3,           2,           0,           2,           2,           0,           5,           1, 
Lowell Police Dept,MA,,,           6,,,,,,           6,           9,           8,           5,           7,           4,           3,           6,           4,           7,           2,           5,           2,          13,           3,           7,           5,           3,           3,           0, 
Springfield Police Dept,MA,          18,           6,           8,          10,           7,          13,          13,          13,          19,          16,          19,          12,           9,          17,           7,           8,          13,          12,          12,          17,          18,          15,          20,          14,          16,          17,          20,          11, 
Worcester Police Dept,MA,           6,           4,          13,          11,,,,          13,          12,          13,           5,           7,           5,           4,           8,           5,           7,          11,           7,          11,           6,           6,           6,           6,           7,           7,          11,           8, 
Ann Arbor Police Dept,MI,           4,           3,           4,           0,           3,           1,           2,           1,           2,           4,           3,           1,           0,           2,           3,           0,           1,           5,           1,           2,           0,           0,           0,           0,           1,           0,           0,           1, 
Detroit Police Dept,MI,         635,         648,         686,         629,         624,         582,         615,         595,         579,         541,         475,         428,         469,         430,         415,         396,         395,         402,         366,         385,         356,         421,         392,         323,         363,         310,         344,         386, 
Flint City Police Dept,MI,          47,          61,          52,          44,          59,          55,          52,          52,          48,          58,          41,          40,          19,          32,          39,          36,          41,          30,          28,          39,          48,          54,          30,          32,          36,          53,          52,          63, 
Grand Rapids Police Dept,MI,          19,          21,          15,          24,          13,          18,          22,          13,          33,          23,          24,          20,          25,          23,          16,          17,          12,           8,          11,          12,          12,          22,          20,          15,           9,           9,          10,          16, 
Kent County Sheriff Office,MI,           0,           2,           1,           1,           0,           1,           2,           3,           3,           3,           7,           5,           0,           2,           1,           0,           1,           4,           3,           3,           0,           0,           0,           1,           1,           2,           1,           1, 
Lansing City Police Dept,MI,           6,           6,           8,          11,          16,          11,          12,           7,          14,          10,          13,          10,          16,          11,          10,          14,           8,          11,           8,           9,           8,           6,          16,          12,          13,          10,           8,          13, 
Livingston County Sheriff Department,MI,           1,           0,           1,           0,           0,           0,           0,           1,           0,,           0,           0,           0,           0,           0,           1,           0,,           0,           0,           0,           0,           0,           0,           0,           1,           0,           0, 
Macomb County Sheriff Office,MI,           0,           1,           2,           2,,           1,           0,           0,           0,           1,           2,           1,           3,           0,           1,           0,           0,           2,           5,           1,           1,           0,           8,           0,           6,           0,           1,           0, 
Monroe County Sheriff Department,MI,           2,           7,           3,           2,           3,           1,           5,           1,           0,           2,           8,           2,           1,           0,           2,           4,           4,           2,           1,           0,           2,           1,           0,           2,           5,           2,           2,           4, 
Oakland County Sheriff Office,MI,           4,           0,           3,           7,           4,           3,           2,           0,           3,           2,           4,           2,           2,           1,           1,           1,           1,           5,           2,           3,           3,           5,           1,           3,           3,           2,          10,          19, 
Ottawa County Sheriff Department,MI,           0,           1,           4,           0,           0,           0,           5,           2,           0,           2,           0,           0,           1,           1,           0,           2,           0,           0,           1,           2,           2,           0,           1,           3,           4,           0,           2,           2, 
Sterling Heights Police Dept,MI,           7,           0,           4,           2,           3,           2,           0,           2,           0,           1,           1,           1,           2,           0,           0,           0,           0,           1,           1,           5,           0,           2,           2,           2,           2,           1,           1,           4, 
Warren Police Dept,MI,           9,          10,          11,           7,           3,          19,           2,           5,,           3,           0,,,           2,           4,           3,           5,           5,           3,           6,           5,           5,           7,           5,           5,           6,           6,           0, 
Washtenaw County Sheriff Department,MI,           7,           4,           5,           6,           2,           4,           3,           3,           8,,           4,           3,           3,           6,           4,           2,           8,           4,           6,           2,           3,           3,           5,           6,           3,           4,           5,           1, 
Minneapolis Police Dept,MN,          29,          44,          38,          55,          46,,          64,          60,          58,          62,          96,          83,          58,          58,          47,          50,          43,          47,          46,          53,          47,          57,          47,          37,          18,          37,          32,          39, 
Rochester Police Dept,MN,           1,           0,           0,           1,           0,           0,           0,           2,           3,           0,           1,           5,           2,           1,           1,           2,           3,           1,           0,           0,           0,           2,           2,           4,           1,           1,           1,           2, 
St. Paul Police Dept,MN,          17,          12,          12,          17,          15,          18,          12,          33,          22,          29,          25,          26,          24,          22,          14,          20,           9,          13,          20,          20,          24,          17,          14,          18,          13,          16,           8,          13, 
Wright County Sheriff Department,MN,           0,           1,           0,           2,           0,           1,           0,           0,           0,           1,           0,           0,           0,           1,           1,           1,           3,           1,           0,           2,           0,           2,           1,           0,           0,           1,           0,           0, 
Jackson Police Dept,MS,          38,          33,          52,          48,          48,          44,          74,          63,          83,          91,          92,          67,          61,          60,          45,          39,          50,          49,          45,          53,          38,          40,          46,          63,          37,          41,          52,          63, 
Independence Police Dept,MO,           1,           4,           3,           4,           4,           1,           5,           1,           4,           6,           2,           1,           6,           5,           6,           2,           6,           6,           2,           1,           6,           2,           7,           9,           3,           8,           2,           5, 
Jefferson County Sheriff Department,MO,,,,,           1,           4,,           2,           3,           7,           2,           7,           4,           1,           3,           5,           4,           5,           2,           1,           1,           3,           2,           1,           3,           2,           2,           5, 
Kansas City Police Dept,MO,          91,         116,         131,         134,         140,         121,         135,         150,         153,         142,         107,         104,         100,         130,         117,         113,         103,          83,          82,          89,         126,         112,          90,         115,         100,         102,         108,         105, 
