"","Agency","State","address","lon","at"
"9653","Stockton","CA","Stockton , CA",-121.2907796,37.9577016
"9681","Suffolk County","NY","Suffolk County , NY",-72.6151169,40.9848784
"9691","Sunnyvale","CA","Sunnyvale , CA",-122.0363496,37.36883
"9719","Surprise","AZ","Surprise , AZ",-112.3679279,33.6292337
"9744","Syracuse","NY","Syracuse , NY",-76.1474244,43.0481221
"9772","Tacoma","WA","Tacoma , WA",-122.4442906,47.2528768
"9800","Tallahassee","FL","Tallahassee , FL",-84.2807329,30.4382559
"9816","Tampa","FL","Tampa , FL",-82.4571776,27.950575
"9832","Temecula","CA","Temecula , CA",-117.1483648,33.4936391
"9854","Tempe","AZ","Tempe , AZ",-111.9400054,33.4255104
"9881","Thornton","CO","Thornton , CO",-104.9719243,39.8680412
"9908","Thousand Oaks","CA","Thousand Oaks , CA",-118.8375937,34.1705609
"9935","Thurston County","WA","Thurston County , WA",-122.7695986,46.8645747
"9963","Toledo","OH","Toledo , OH",-83.555212,41.6639383
"9990","Topeka","KS","Topeka , KS",-95.6890185,39.0558235
"10016","Torrance","CA","Torrance , CA",-118.3406288,33.8358492
"10044","Travis County","TX","Travis County , TX",-97.6982272,30.2097015
"10072","Tucson","AZ","Tucson , AZ",-110.926479,32.2217429
"10099","Tulare County","CA","Tulare County , CA",-118.8596804,36.1341739
"10127","Tulsa","OK","Tulsa , OK",-95.992775,36.1539816
"10155","Tyler","TX","Tyler , TX",-95.3010624,32.3512601
"10181","Union County","NC","Union County , NC",-80.543845,34.9338651
"10204","Vallejo","CA","Vallejo , CA",-122.2566367,38.1040864
"10230","Vancouver","WA","Vancouver , WA",-122.6614861,45.6387281
"10258","Ventura","CA","Ventura , CA",-119.2290316,34.274646
"10286","Victorville","CA","Victorville , CA",-117.2927641,34.5362184
"10314","Virginia Beach","VA","Virginia Beach , VA",-75.977985,36.8529263
"10342","Visalia","CA","Visalia , CA",-119.2920585,36.3302284
"10370","Volusia County","FL","Volusia County , FL",-81.0754657,29.0279842
"10386","Waco","TX","Waco , TX",-97.1466695,31.549333
"10414","Wake County","NC","Wake County , NC",-78.5660852,35.8031909
"10441","Warren","MI","Warren , MI",-83.0146526,42.5144566
"10466","Washington","DC","Washington , DC",-77.0368707,38.9071923
"10494","Washington County","MD","Washington County , MD",-77.719993,39.641762
"10495","Washington County","OR","Washington County , OR",-123.1386021,45.5469616
"10548","Washoe County","NV","Washoe County , NV",-119.6035495,40.5608387
"10576","Washtenaw County","MI","Washtenaw County , MI",-83.8473015,42.3076493
"10602","Waterbury","CT","Waterbury , CT",-73.0514965,41.5581525
"10630","West Covina","CA","West Covina , CA",-117.9389526,34.0686208
"10658","West Jordan","UT","West Jordan , UT",-111.9391031,40.6096698
"10686","West Palm Beach","FL","West Palm Beach , FL",-80.0533746,26.7153424
"10702","West Valley","UT","West Valley , UT",-112.0010501,40.6916132
"10727","Westminster","CO","Westminster , CO",-105.0372046,39.8366528
"10749","Wichita","KS","Wichita , KS",-97.330053,37.6871761
"10777","Wichita Falls","TX","Wichita Falls , TX",-98.4933873,33.9137085
"10805","Will County","IL","Will County , IL",-88.0900762,41.5054724
"10808","Williamson County","TX","Williamson County , TX",-97.6982272,30.7591685
"10836","Wilmington","NC","Wilmington , NC",-77.9447102,34.2257255
"10864","Winston-Salem","NC","Winston-Salem , NC",-80.244216,36.0998596
"10891","Woodbridge","NJ","Woodbridge , NJ",-74.2846022,40.5575986
"10919","Worcester","MA","Worcester , MA",-71.8022934,42.2625932
"10944","Wright County","MN","Wright County , MN",-94.0190943,45.1538202
"10963","Yonkers","NY","Yonkers , NY",-73.8987469,40.9312099
"10991","York County","SC","York County , SC",-81.2518833,34.9871367
